VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4JJXR64N,Yakima,Naches,WA,98937,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,14,209500252,POINT (-120.69918 46.7305),PACIFICORP,53077003004
5YJ3E1EB6M,Yakima,Naches,WA,98937,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,176230267,POINT (-120.69918 46.7305),PACIFICORP,53077003004
WVGGNPE26N,Yakima,Naches,WA,98937,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,220487746,POINT (-120.69918 46.7305),PACIFICORP,53077003003
1C4JJXP66P,Yakima,Naches,WA,98937,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,14,228005970,POINT (-120.69918 46.7305),PACIFICORP,53077003003
JTDKARFP3L,Yakima,Naches,WA,98937,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,122245735,POINT (-120.69918 46.7305),PACIFICORP,53077003003
JTMFB3FV0M,Yakima,Naches,WA,98937,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,14,179040634,POINT (-120.69918 46.7305),PACIFICORP,53077003003
1G1RC6E45C,Yakima,Naches,WA,98937,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,14,2752718,POINT (-120.69918 46.7305),PACIFICORP,53077003003
5YJ3E1EC0P,Yakima,Naches,WA,98937,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,232958365,POINT (-120.69918 46.7305),PACIFICORP,53077003002
5YJ3E1EA2J,Yakima,Naches,WA,98937,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,190294891,POINT (-120.69918 46.7305),PACIFICORP,53077003002
1N4AZ1CP0J,Yakima,Naches,WA,98937,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,14,350416720,POINT (-120.69918 46.7305),PACIFICORP,53077003002
5YJ3E1EB4K,Yakima,Naches,WA,98937,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,270673084,POINT (-120.69918 46.7305),PACIFICORP,53077003002
KNDCS3LF3P,Yakima,Naches,WA,98937,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,14,249765939,POINT (-120.69918 46.7305),PACIFICORP,53077003002
7SAYGDEF2P,Yakima,Naches,WA,98937,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,221274028,POINT (-120.69918 46.7305),PACIFICORP,53077003002
5YJ3E1EB7J,Yakima,Naches,WA,98937,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,15,474885939,POINT (-120.69918 46.7305),PACIFICORP,53077003002
5YJSA1DN8C,Yakima,Naches,WA,98937,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,15,109056846,POINT (-120.69918 46.7305),PACIFICORP,53077003002
